Rename,blue_col_num,blue_pri_R,blue_pri_G,blue_pri_B,blue_sec_R,blue_sec_G,blue_sec_B,blue_ter_R,blue_ter_G,blue_ter_B
Panthera_tigris_tigris_corbetti,,,,,,,,,,
Panthera_tigris_tigris_tigris,,,,,,,,,,
Panthera_tigris_tigris_altaica,,,,,,,,,,
Panthera_tigris_sondaica,,,,,,,,,,
Panthera_tigris_tigris_amoyensis,,,,,,,,,,
Panthera_tigris_tigris_jacksoni,2,108,121,125,77,95,105,,,
Panthera_uncia,2,131,146,118,109,111,60,,,
Panthera_pardus_orientalis,3,192,203,170,149,172,157,108,124,103
Panthera_pardus_tulliana,,,,,,,,,,
Panthera_pardus_fusca,3,92,122,127,117,148,162,144,171,188
Panthera_leo_melanochaita,,,,,,,,,,
Panthera_leo_persica,,,,,,,,,,
Panthera_leo_leo,,,,,,,,,,
Neofelis_nebulosa,,,,,,,,,,
Neofelis_diardi,,,,,,,,,,
Felis_lybica_cafra,,,,,,,,,,
Felis_lybica_ornata,,,,,,,,,,
Felis_bieti,2,92,107,129,119,139,167,,,
Felis_silvestris,3,152,182,171,111,137,121,201,220,213
Felis_lybica_lybica,,,,,,,,,,
Felis_margarita,,,,,,,,,,
Felis_nigripes,,,,,,,,,,
Felis_chaus_chaus,,,,,,,,,,
Felis_chaus_affinis,,,,,,,,,,
Prionailurus_planiceps,,,,,,,,,,
Prionailurus_bengalensis_bengalensis,,,,,,,,,,
Prionailurus_bengalensis_iriomotensis,,,,,,,,,,
Prionailurus_viverrinus,,,,,,,,,,
Prionailurus_rubiginosus,,,,,,,,,,
Otocolobus_manul,,,,,,,,,,
Herpailurus_yagouaroundi,,,,,,,,,,
Puma_concolor,,,,,,,,,,
Acinonyx_jubatus,,,,,,,,,,
Lynx_pardinus,,,,,,,,,,
Lynx_lynx,,,,,,,,,,
Lynx_canadensis,,,,,,,,,,
Lynx_rufus,2,146,150,131,110,109,92,,,
Leopardus_jacobita,,,,,,,,,,
Leopardus_guigna,,,,,,,,,,
Leopardus_geoffroyi,,,,,,,,,,
Leopardus_tigrinus,,,,,,,,,,
Leopardus_wiedii,,,,,,,,,,
Leopardus_pardalis_pardalis,,,,,,,,,,
Leopardus_colocola_pajeros,,,,,,,,,,
Leopardus_guttulus,,,,,,,,,,
Leptailurus_serval,,,,,,,,,,
Caracal_aurata,,,,,,,,,,
Caracal_caracal,,,,,,,,,,
Pardofelis_marmorata,,,,,,,,,,
Catopuma_temminckii,,,,,,,,,,
Catopuma_badia,,,,,,,,,,
Prionailurus_javanensis,,,,,,,,,,
Panthera_onca,,,,,,,,,,
Prionodon_linsang,,,,,,,,,,