Rename,gray_col_num,gray_pri_R,gray_pri_G,gray_pri_B,gray_sec_R,gray_sec_G,gray_sec_B,gray_ter_R,gray_ter_G,gray_ter_B,gray_qua_R,gray_qua_G,gray_qua_B
Panthera_tigris_tigris_corbetti,3,98,80,51,105,85,54,167,145,104,,,
Panthera_tigris_tigris_tigris,3,154,133,88,123,107,71,96,82,54,,,
Panthera_tigris_tigris_altaica,3,82,67,49,106,92,75,99,84,66,,,
Panthera_tigris_sondaica,2,140,139,125,85,84,81,,,,,,
Panthera_tigris_tigris_amoyensis,3,88,75,68,131,114,104,108,91,81,,,
Panthera_tigris_tigris_jacksoni,3,132,130,123,183,181,167,130,122,109,,,
Panthera_uncia,1,86,76,63,,,,,,,,,
Panthera_pardus_orientalis,3,82,81,79,117,116,109,56,54,54,,,
Panthera_pardus_tulliana,2,126,113,75,133,119,88,,,,,,
Panthera_pardus_fusca,3,131,118,93,159,142,112,146,132,98,,,
Panthera_leo_melanochaita,,,,,,,,,,,,,
Panthera_leo_persica,2,101,91,77,154,145,130,,,,,,
Panthera_leo_leo,,,,,,,,,,,,,
Neofelis_nebulosa,3,67,64,64,49,48,47,82,78,77,,,
Neofelis_diardi,2,134,127,91,97,87,53,,,,,,
Felis_lybica_cafra,3,184,182,167,161,160,146,136,135,128,,,
Felis_lybica_ornata,2,208,196,165,225,212,183,,,,,,
Felis_bieti,2,157,151,149,190,182,180,,,,,,
Felis_silvestris,2,124,126,113,110,119,106,,,,,,
Felis_lybica_lybica,3,188,185,168,176,175,158,162,160,146,,,
Felis_margarita,3,78,81,67,94,99,81,114,119,103,,,
Felis_nigripes,,,,,,,,,,,,,
Felis_chaus_chaus,2,148,146,136,126,121,110,,,,,,
Felis_chaus_affinis,3,82,93,103,42,50,60,109,122,127,,,
Prionailurus_planiceps,3,71,58,45,89,76,65,111,95,86,,,
Prionailurus_bengalensis_bengalensis,3,155,133,107,177,163,143,109,83,61,,,
Prionailurus_bengalensis_iriomotensis,,,,,,,,,,,,,
Prionailurus_viverrinus,3,150,146,129,182,184,175,121,119,108,,,
Prionailurus_rubiginosus,2,105,115,119,78,85,84,,,,,,
Otocolobus_manul,3,189,186,157,124,122,108,154,153,133,,,
Herpailurus_yagouaroundi,3,65,73,70,82,94,97,100,113,115,,,
Puma_concolor,3,181,169,144,153,136,114,134,117,98,,,
Acinonyx_jubatus,,,,,,,,,,,,,
Lynx_pardinus,3,153,158,140,168,172,156,135,141,122,,,
Lynx_lynx,2,183,165,143,155,139,123,,,,,,
Lynx_canadensis,,,,,,,,,,,,,
Lynx_rufus,1,116,108,94,,,,,,,,,
Leopardus_jacobita,,,,,,,,,,,,,
Leopardus_guigna,,,,,,,,,,,,,
Leopardus_geoffroyi,2,75,77,73,68,68,61,,,,,,
Leopardus_tigrinus,,,,,,,,,,,,,
Leopardus_wiedii,,,,,,,,,,,,,
Leopardus_pardalis_pardalis,4,100,96,81,85,80,66,115,114,105,67,62,50
Leopardus_colocola_pajeros,3,130,124,113,119,113,101,148,139,135,,,
Leopardus_guttulus,,,,,,,,,,,,,
Leptailurus_serval,3,128,116,103,153,141,123,107,89,72,,,
Caracal_aurata,2,115,115,141,137,139,158,,,,,,
Caracal_caracal,4,98,117,110,126,148,139,101,111,101,82,88,77
Pardofelis_marmorata,,,,,,,,,,,,,
Catopuma_temminckii,3,160,148,159,149,126,122,120,97,93,,,
Catopuma_badia,,,,,,,,,,,,,
Prionailurus_javanensis,,,,,,,,,,,,,
Panthera_onca,2,162,147,126,195,178,153,,,,,,
Prionodon_linsang,,,,,,,,,,,,,