Rename,brown_col_num,brown_order,brown_pri,brown_sec,brown_light_R,brown_light_G,brown_light_B,brown_med_R,brown_med_G,brown_med_B,brown_dark_R,brown_dark_G,brown_dark_B,brown_excl_R,brown_excl_G,brown_excl_B,hazgre_col_num,hazgre_order,hazgre_pri,hazgre_sec,hazgre_light_R,hazgre_light_G,hazgre_light_B,hazgre_med_R,hazgre_med_G,hazgre_med_B,hazgre_dark_R,hazgre_dark_G,hazgre_dark_B,yelbei_col_num,yelbei_order,yelbei_pri,yelbei_sec,yelbei_light_R,yelbei_light_G,yelbei_light_B,yelbei_med_R,yelbei_med_G,yelbei_med_B,yelbei_dark_R,yelbei_dark_G,yelbei_dark_B,gray_col_num,gray_order,gray_pri,gray_sec,gray_light_R,gray_light_G,gray_light_B,gray_med_R,gray_med_G,gray_med_B,gray_dark_R,gray_dark_G,gray_dark_B,gray_excl_R,gray_excl_G,gray_excl_B,blue_col_num,blue_order,blue_pri,blue_sec,blue_light_R,blue_light_G,blue_light_B,blue_med_R,blue_med_G,blue_med_B,blue_dark_R,blue_dark_G,blue_dark_B
Neofelis_diardi,2,lm,l,m,151,112,74,98,67,40,98,67,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,md,m,d,134,127,91,134,127,91,97,87,53,,,,,,,,,,,,,,,,
Felis_lybica_cafra,2,ml,m,l,122,100,65,95,71,37,95,71,37,,,,3,mld,m,l,170,171,126,142,147,103,130,138,100,2,lm,l,m,188,162,110,191,166,119,191,166,119,3,lmd,l,m,184,182,167,161,160,146,136,135,128,,,,,,,,,,,,,,,,
Prionailurus_planiceps,2,ml,m,l,142,93,61,110,66,44,110,66,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,dml,d,m,111,95,86,89,76,65,71,58,45,,,,,,,,,,,,,,,,
Lynx_canadensis,2,md,m,d,76,55,43,76,55,43,73,54,41,,,,,,,,,,,,,,,,,2,dm,d,m,159,125,71,159,125,71,138,109,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leopardus_guigna,2,dl,d,l,117,85,60,100.5,70.5,47.5,84,56,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leopardus_tigrinus,2,md,m,d,81,57,31,81,57,31,73,50,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leopardus_guttulus,2,md,m,d,84,65,46,84,65,46,60,45,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pardofelis_marmorata,2,lm,l,m,164,124,88,144,104,76,144,104,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocuta_crocuta,2,dm,d,m,46,28,22,46,28,22,63,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetta_genetta,2,md,m,d,64,46,30,64,46,30,66,47,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthera_leo_persica,3,mdl,m,d,151,122,83,129,101,64,93,70,43,,,,,,,,,,,,,,,,,2,md,m,d,184,135,68,184,135,68,120,86,43,2,dl,d,l,154,145,130,127.5,118,103.5,101,91,77,,,,,,,,,,,,,,,,
Panthera_leo_leo,3,mld,m,l,140,108,81,111,78,56,80,53,37,,,,,,,,,,,,,,,,,2,lm,l,m,191,152,87,157,119,67,157,119,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neofelis_nebulosa,3,dlm,d,l,120,87,57,112,80,61,102,65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,mdl,m,d,82,78,77,67,64,64,49,48,47,,,,,,,,,,,,,,,,
Prionailurus_bengalensis_bengalensis,3,mdl,m,d,96,58,12,73,43,8,55,29,5,,,,,,,,,,,,,,,,,3,mdl,m,d,219,159,90,164,113,42,108,89,51,3,mld,m,l,177,163,143,155,133,107,109,83,61,,,,,,,,,,,,,,,,
Prionailurus_bengalensis_iriomotensis,3,mld,m,l,79,60,36,63,53,37,52,41,25,,,,,,,,,,,,,,,,,3,mld,m,l,195,181,156,175,142,112,151,112,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prionailurus_rubiginosus,3,lmd,l,m,129,98,67,108,81,50,85,59,37,,,,2,lm,l,m,180,166,119,122,105,49,122,105,49,3,dlm,d,l,154,129,66,155,124,59,133,103,48,2,md,m,d,105,115,119,105,115,119,78,85,84,,,,,,,,,,,,,,,,
Herpailurus_yagouaroundi,3,ldm,l,d,201,161,115,181,140,101,159,116,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,dml,d,m,100,113,115,82,94,97,65,73,70,,,,,,,,,,,,,,,,
Acinonyx_jubatus,3,mld,m,l,129,91,45,117,77,31,92,55,17,,,,,,,,,,,,,,,,,2,dm,d,m,152,105,40,152,105,40,108,75,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynx_lynx,3,dml,,,92,78,65,79,62,43,65,48,29,,,,3,lmd,l,m,162,153,102,134,120,62,98,82,28,3,lmd,l,m,204,172,120,176,145,100,146,117,74,2,lm,l,m,183,165,143,155,139,123,155,139,123,,,,,,,,,,,,,,,,
Lynx_rufus,3,lmd,l,m,145,114,75,120,89,56,91,61,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,m,m,m,116,108,94,116,108,94,116,108,94,,,,2,md,m,d,146,150,131,146,150,131,110,109,92
Leopardus_jacobita,3,mdl,m,d,140,108,80,124,90,65,93,62,44,,,,3,dml,d,m,143,151,106,132,137,98,111,107,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leopardus_geoffroyi,3,mdl,m,d,79,66,46,62,51,30,48,39,18,,,,3,dml,d,m,164,186,125,124,140,74,86,90,38,,,,,,,,,,,,,,2,md,m,d,75,77,73,75,77,73,68,68,61,,,,,,,,,,,,,,,,
Leopardus_wiedii,3,lmd,l,m,119,91,60,102,69,44,83,54,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leopardus_pardalis_pardalis,3,dml,d,m,101,75,51,90,66,44,75,51,31,,,,1,d,d,d,79,69,43,79,69,43,79,69,43,,,,,,,,,,,,,,4,emld,e,m,115,114,105,85,80,66,67,62,50,100,96,81,,,,,,,,,,,,,
Leopardus_colocola_pajeros,3,mdl,m,d,127,114,103,106,86,67,100,78,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,mdl,m,d,148,139,135,130,124,113,119,113,101,,,,,,,,,,,,,,,,
Leptailurus_serval,3,mdl,m,d,69,46,27,58,39,24,42,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,mld,m,l,153,141,123,128,116,103,107,89,72,,,,,,,,,,,,,,,,
Caracal_caracal,3,lmd,l,m,120,88,69,90,64,49,63,42,31,,,,3,mld,m,l,125,121,100,101,95,75,88,84,63,,,,,,,,,,,,,,4,slsd,s,l,126,148,139,99.5,114,105.5,82,88,77,99.5,114,105.5,,,,,,,,,,,,,
Catopuma_temminckii,3,mdl,m,d,118,100,74,100,85,62,91,70,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,lmd,l,m,160,148,159,149,126,122,120,97,93,,,,,,,,,,,,,,,,
Prionailurus_javanensis,3,lmd,l,m,116,99,85,100,85,73,81,65,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prionodon_linsang,3,lmd,l,m,30,23,24,24,19,20,20,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulpes_zerda,3,lmd,l,m,80,68,60,68,55,49,50,41,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puma_concolor,4,deml,d,e,134,107,78,100,78,54,82,64,44,116,92,65,,,,,,,,,,,,,,2,md,m,d,147,112,59,147,112,59,113,92,51,3,lmd,l,m,181,169,144,153,136,114,134,117,98,,,,,,,,,,,,,,,,
Panthera_tigris_sondaica,,,,,,,,,,,,,,,,,2,md,m,d,113,99,62,113,99,62,91,78,50,1,m,m,m,168,122,78,168,122,78,168,122,78,2,md,m,d,140,139,125,140,139,125,85,84,81,,,,,,,,,,,,,,,,
Felis_silvestris,,,,,,,,,,,,,,,,,2,dl,d,l,145,137,98,126.5,120,83,108,103,68,,,,,,,,,,,,,,2,lm,l,m,124,126,113,110,119,106,110,119,106,,,,3,mdl,m,d,201,220,213,152,182,171,111,137,121
Felis_nigripes,,,,,,,,,,,,,,,,,2,lm,l,m,169,186,155,83,98,71,83,98,71,3,mdl,m,d,184,165,100,150,133,74,129,115,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felis_chaus_affinis,,,,,,,,,,,,,,,,,2,md,m,d,122,118,78,122,118,78,98,97,50,,,,,,,,,,,,,,3,mdl,m,d,109,122,127,82,93,103,42,50,60,,,,,,,,,,,,,,,,
Lynx_pardinus,3,ldm,l,d,123,110,90,104,93,73,94,84,64,,,,3,dml,d,m,127,122,97,124,120,92,107,104,80,3,dml,d,m,193,163,105,179,143,81,158,126,65,3,mld,m,l,168,172,156,153,158,140,135,141,122,,,,,,,,,,,,,,,,
Panthera_onca,,,,,,,,,,,,,,,,,2,dm,d,m,92,95,55,92,95,55,51,61,29,3,dml,d,m,189,148,85,126,95,59,65,51,38,2,ld,l,d,195,178,153,178.5,162.5,139.5,162,147,126,,,,,,,,,,,,,,,,
Panthera_uncia,,,,,,,,,,,,,,,,,3,lmd,l,m,116,130,116,76,84,72,35,39,33,,,,,,,,,,,,,,1,d,d,d,86,76,63,86,76,63,86,76,63,,,,2,md,m,d,131,146,118,131,146,118,109,111,60
Panthera_pardus_orientalis,,,,,,,,,,,,,,,,,3,mld,m,l,134,124,91,111,103,73,79,73,54,3,mld,m,l,214,177,116,181,135,74,151,115,70,3,mld,m,l,117,116,109,82,81,79,56,54,54,,,,3,lmd,l,m,192,203,170,149,172,157,108,124,103
Felis_lybica_ornata,,,,,,,,,,,,,,,,,3,mdl,m,d,161,166,139,140,143,109,108,109,78,,,,,,,,,,,,,,2,ml,m,l,225,212,183,208,196,165,208,196,165,,,,,,,,,,,,,,,,
Felis_lybica_lybica,,,,,,,,,,,,,,,,,3,mld,m,l,182,168,113,162,152,102,125,112,73,2,lm,l,m,215,192,116,198,164,85,198,164,85,3,lmd,l,m,188,185,168,176,175,158,162,160,146,,,,,,,,,,,,,,,,
Felis_margarita,,,,,,,,,,,,,,,,,3,mld,m,l,140,138,113,124,119,90,99,94,61,,,,,,,,,,,,,,3,dml,d,m,114,119,103,94,99,81,78,81,67,,,,,,,,,,,,,,,,
Felis_chaus_chaus,,,,,,,,,,,,,,,,,3,dml,d,m,162,149,126,127,119,100,102,98,81,,,,,,,,,,,,,,2,lm,l,m,148,146,136,126,121,110,126,121,110,,,,,,,,,,,,,,,,
Prionailurus_viverrinus,,,,,,,,,,,,,,,,,3,dlm,d,l,121,113,93,112,101,80,99,86,63,,,,,,,,,,,,,,3,mld,m,l,182,184,175,150,146,129,121,119,108,,,,,,,,,,,,,,,,
Otocolobus_manul,,,,,,,,,,,,,,,,,3,ldm,l,d,119,130,113,108,115,97,88,92,76,3,mld,m,l,217,185,90,177,150,71,119,103,45,3,ldm,l,d,189,186,157,154,153,133,124,122,108,,,,,,,,,,,,,,,,
Panthera_tigris_tigris_corbetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,md,m,d,158,121,84,158,121,84,103,69,44,3,dml,d,m,167,145,104,105,85,54,98,80,51,,,,,,,,,,,,,,,,
Panthera_leo_melanochaita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,dm,d,m,150,108,59,150,108,59,136,96,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catopuma_badia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,md,m,d,163,130,66,163,130,66,155,124,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthera_tigris_tigris_tigris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,mdl,m,d,187,170,132,159,140,100,151,131,90,3,lmd,l,m,154,133,88,123,107,71,96,82,54,,,,,,,,,,,,,,,,
Panthera_tigris_tigris_altaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,mdl,m,d,165,130,89,119,92,62,92,72,48,3,dlm,d,l,106,92,75,99,84,66,82,67,49,,,,,,,,,,,,,,,,
Panthera_tigris_tigris_amoyensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ldm,l,d,161,125,76,146,107,60,140,97,49,3,dlm,d,l,131,114,104,108,91,81,88,75,68,,,,,,,,,,,,,,,,
Panthera_tigris_tigris_jacksoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,lmd,l,m,174,134,85,148,111,72,117,85,57,3,mld,m,l,183,181,167,132,130,123,130,122,109,,,,2,md,m,d,108,121,125,108,121,125,77,95,105
Panthera_pardus_tulliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,dm,d,m,133,119,88,133,119,88,126,113,75,,,,,,,,,,,,,,,,
Felis_bieti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ld,l,d,190,182,180,173.5,166.5,164.5,157,151,149,,,,2,dm,d,m,119,139,167,119,139,167,92,107,129
Caracal_aurata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ml,m,l,137,139,158,115,115,141,115,115,141,,,,,,,,,,,,,,,,
Panthera_pardus_fusca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,dlm,d,l,159,142,112,146,132,98,131,118,93,,,,3,dml,d,m,144,171,188,117,148,162,92,122,127