Rename,yelbei_col_num,yelbei_pri_R,yelbei_pri_G,yelbei_pri_B,yelbei_sec_R,yelbei_sec_G,yelbei_sec_B,yelbei_ter_R,yelbei_ter_G,yelbei_ter_B
Panthera_tigris_tigris_corbetti,2,158,121,84,103,69,44,,,
Panthera_tigris_tigris_tigris,3,159,140,100,151,131,90,187,170,132
Panthera_tigris_tigris_altaica,3,119,92,62,92,72,48,165,130,89
Panthera_tigris_sondaica,1,168,122,78,,,,,,
Panthera_tigris_tigris_amoyensis,3,161,125,76,140,97,49,146,107,60
Panthera_tigris_tigris_jacksoni,3,174,134,85,148,111,72,117,85,57
Panthera_uncia,,,,,,,,,,
Panthera_pardus_orientalis,3,181,135,74,214,177,116,151,115,70
Panthera_pardus_tulliana,,,,,,,,,,
Panthera_pardus_fusca,,,,,,,,,,
Panthera_leo_melanochaita,2,136,96,52,150,108,59,,,
Panthera_leo_persica,2,184,135,68,120,86,43,,,
Panthera_leo_leo,2,191,152,87,157,119,67,,,
Neofelis_nebulosa,,,,,,,,,,
Neofelis_diardi,,,,,,,,,,
Felis_lybica_cafra,2,188,162,110,191,166,119,,,
Felis_lybica_ornata,,,,,,,,,,
Felis_bieti,,,,,,,,,,
Felis_silvestris,,,,,,,,,,
Felis_lybica_lybica,2,215,192,116,198,164,85,,,
Felis_margarita,,,,,,,,,,
Felis_nigripes,3,150,133,74,129,115,66,184,165,100
Felis_chaus_chaus,,,,,,,,,,
Felis_chaus_affinis,,,,,,,,,,
Prionailurus_planiceps,,,,,,,,,,
Prionailurus_bengalensis_bengalensis,3,164,113,42,108,89,51,219,159,90
Prionailurus_bengalensis_iriomotensis,3,175,142,112,195,181,156,151,112,89
Prionailurus_viverrinus,,,,,,,,,,
Prionailurus_rubiginosus,3,133,103,48,154,129,66,155,124,59
Otocolobus_manul,3,177,150,71,217,185,90,119,103,45
Herpailurus_yagouaroundi,,,,,,,,,,
Puma_concolor,2,147,112,59,113,92,51,,,
Acinonyx_jubatus,2,108,75,29,152,105,40,,,
Lynx_pardinus,3,158,126,65,179,143,81,193,163,105
Lynx_lynx,3,204,172,120,176,145,100,146,117,74
Lynx_canadensis,2,138,109,66,159,125,71,,,
Lynx_rufus,,,,,,,,,,
Leopardus_jacobita,,,,,,,,,,
Leopardus_guigna,,,,,,,,,,
Leopardus_geoffroyi,,,,,,,,,,
Leopardus_tigrinus,,,,,,,,,,
Leopardus_wiedii,,,,,,,,,,
Leopardus_pardalis_pardalis,,,,,,,,,,
Leopardus_colocola_pajeros,,,,,,,,,,
Leopardus_guttulus,,,,,,,,,,
Leptailurus_serval,,,,,,,,,,
Caracal_aurata,,,,,,,,,,
Caracal_caracal,,,,,,,,,,
Pardofelis_marmorata,,,,,,,,,,
Catopuma_temminckii,,,,,,,,,,
Catopuma_badia,2,163,130,66,155,124,57,,,
Prionailurus_javanensis,,,,,,,,,,
Panthera_onca,3,65,51,38,126,95,59,189,148,85
Prionodon_linsang,,,,,,,,,,