Rename,color
Panthera_tigris,yelbei+gray
Panthera_uncia,gray+blue
Panthera_pardus,yelbei+gray
Panthera_leo,yelbei
Neofelis_nebulosa,brown+gray
Felis_bieti,gray+blue
Felis_silvestris,hazgre+gray
Felis_margarita,hazgre+gray
Felis_nigripes,hazgre+yelbei
Felis_chaus,hazgre+gray
Prionailurus_planiceps,brown
Prionailurus_bengalensis_bengalensis,brown
Prionailurus_bengalensis_iriomotensis,brown
Prionailurus_viverrinus,gray
Prionailurus_rubiginosus,brown+hazgre+gray
Otocolobus_manul,hazgre+yelbei+gray
Herpailurus_yagouaroundi,brown+gray
Puma_concolor,gray
Acinonyx_jubatus,brown+yelbei
Lynx_pardinus,hazgre+gray
Lynx_lynx,yelbei
Lynx_canadensis,yelbei
Lynx_rufus,brown+gray
Leopardus_jacobita,brown+hazgre
Leopardus_guigna,brown
Leopardus_geoffroyi,brown+gray
Leopardus_tigrinus,brown
Leopardus_wiedii,brown
Leopardus_pardalis_pardalis,brown
Leopardus_colocola_pajeros,gray
Leptailurus_serval,brown
Caracal_aurata,gray
Caracal_caracal,brown+gray
Pardofelis_marmorata,brown
Catopuma_temminckii,brown
Catopuma_badia,yelbei
Panthera_onca,yelbei+gray
Prionodon_linsang,brown
Crocuta_crocuta,brown
Genetta_genetta,brown
Vulpes_zerda,brown